PlayerID,TeamID,Team,TeamLogo,Number,Name,Position,Age,Nationality,Market Value,Image
cfr_cluj_mario_camora,cfr_cluj,CFR Cluj,cfr_cluj.png,45,Mario Camora,Left-Back,"Nov 10, 1986 (38)",Romania,€200k,cfr_cluj_mario_camora.png
cfr_cluj_flavius_iacob,cfr_cluj,CFR Cluj,cfr_cluj.png,23,Flavius Iacob,Right-Back,"Oct 30, 2000 (24)",Romania,€250k,cfr_cluj_flavius_iacob.png
cfr_cluj_alexandru_tirlea,cfr_cluj,CFR Cluj,cfr_cluj.png,20,Alexandru Tirlea,Right-Back,"Mar 28, 2000 (24)",Romania,€100k,cfr_cluj_alexandru_tirlea.jpg
cfr_cluj_andrei_peteleu,cfr_cluj,CFR Cluj,cfr_cluj.png,71,Andrei Peteleu,Right-Back,"Aug 20, 1992 (32)",Romania,€50k,cfr_cluj_andrei_peteleu.png
cfr_cluj_moustapha_name,cfr_cluj,CFR Cluj,cfr_cluj.png,25,Moustapha Name,Defensive Midfield,"May 5, 1995 (29)",Senegal,€1.20m,cfr_cluj_moustapha_name.jpg
cfr_cluj_lindon_emerllahu,cfr_cluj,CFR Cluj,cfr_cluj.png,-,Lindon Emerllahu,Defensive Midfield,"Dec 7, 2002 (22)",Kosovo,€1.00m,cfr_cluj_lindon_emerllahu.jpg
cfr_cluj_panagiotis_tachtsidis,cfr_cluj,CFR Cluj,cfr_cluj.png,77,Panagiotis Tachtsidis,Defensive Midfield,"Feb 15, 1991 (33)",Greece,€550k,cfr_cluj_panagiotis_tachtsidis.png
cfr_cluj_alin_fica,cfr_cluj,CFR Cluj,cfr_cluj.png,82,Alin Fica,Central Midfield,"Jun 14, 2001 (23)",Romania,€750k,cfr_cluj_alin_fica.png
cfr_cluj_damjan_djokovic,cfr_cluj,CFR Cluj,cfr_cluj.png,88,Damjan Djokovic,Central Midfield,"Apr 18, 1990 (34)",Croatia,€225k,cfr_cluj_damjan_djokovic.png
cfr_cluj_meriton_korenica,cfr_cluj,CFR Cluj,cfr_cluj.png,17,Meriton Korenica,Left Winger,"Dec 15, 1996 (28)",Kosovo,€900k,cfr_cluj_meriton_korenica.png
cfr_cluj_mohammed_kamara,cfr_cluj,CFR Cluj,cfr_cluj.png,7,Mohammed Kamara,Left Winger,"Oct 31, 1997 (27)",Liberia,€600k,cfr_cluj_mohammed_kamara.png
cfr_cluj_adrian_paun,cfr_cluj,CFR Cluj,cfr_cluj.png,11,Adrian Paun,Left Winger,"Apr 1, 1995 (29)",Romania,€600k,cfr_cluj_adrian_paun.png
cfr_cluj_andres_sfait,cfr_cluj,CFR Cluj,cfr_cluj.png,97,Andres Sfait,Left Winger,"Dec 9, 2004 (20)",Romania,€450k,cfr_cluj_andres_sfait.png
cfr_cluj_stipe_juric,cfr_cluj,CFR Cluj,cfr_cluj.png,99,Stipe Juric,Left Winger,"Nov 19, 1998 (26)",Bosnia-Herzegovina,€450k,cfr_cluj_stipe_juric.png
cfr_cluj_ioan_barstan,cfr_cluj,CFR Cluj,cfr_cluj.png,16,Ioan Barstan,Left Winger,"Jun 26, 2004 (20)",Romania,€125k,cfr_cluj_ioan_barstan.jpeg
cfr_cluj_raul_clemeniuc,cfr_cluj,CFR Cluj,cfr_cluj.png,-,Raul Clemeniuc,Left Winger,"Jul 30, 2006 (18)",Romania,-,cfr_cluj_raul_clemeniuc.jpg
cfr_cluj_beni_nkololo,cfr_cluj,CFR Cluj,cfr_cluj.png,96,Beni Nkololo,Right Winger,"Nov 6, 1996 (28)",France,€600k,cfr_cluj_beni_nkololo.png
cfr_cluj_ciprian_deac,cfr_cluj,CFR Cluj,cfr_cluj.png,10,Ciprian Deac,Right Winger,"Feb 16, 1986 (38)",Romania,€200k,cfr_cluj_ciprian_deac.png
cfr_cluj_louis_munteanu,cfr_cluj,CFR Cluj,cfr_cluj.png,9,Louis Munteanu,Centre-Forward,"Jun 16, 2002 (22)",Romania,€2.20m,cfr_cluj_louis_munteanu.png
cfr_cluj_virgiliu_postolachi,cfr_cluj,CFR Cluj,cfr_cluj.png,93,Virgiliu Postolachi,Centre-Forward,"Mar 17, 2000 (24)",Moldova,€600k,cfr_cluj_virgiliu_postolachi.png
