PlayerID,TeamID,Team,TeamLogo,Number,Name,Position,Age,Nationality,Market Value,Image,Scor
cfr_cluj_aly_abeid,cfr_cluj,CFR Cluj,cfr_cluj.png,3,Aly Abeid,Left-Back,"Dec 11, 1997 (27)",Mauritania,€500k,cfr_cluj_aly_abeid.png,3
cfr_cluj_mario_camora,cfr_cluj,CFR Cluj,cfr_cluj.png,45,Mario Camora,Left-Back,"Nov 10, 1986 (38)",Romania,€200k,cfr_cluj_mario_camora.png,4
cfr_cluj_flavius_iacob,cfr_cluj,CFR Cluj,cfr_cluj.png,23,Flavius Iacob,Right-Back,"Oct 30, 2000 (24)",Romania,€250k,cfr_cluj_flavius_iacob.png,2
cfr_cluj_alexandru_tirlea,cfr_cluj,CFR Cluj,cfr_cluj.png,20,Alexandru Tirlea,Right-Back,"Mar 28, 2000 (24)",Romania,€100k,cfr_cluj_alexandru_tirlea.jpg,2
cfr_cluj_andrei_peteleu,cfr_cluj,CFR Cluj,cfr_cluj.png,71,Andrei Peteleu,Right-Back,"Aug 20, 1992 (32)",Romania,€50k,cfr_cluj_andrei_peteleu.png,3
cfr_cluj_panagiotis_tachtsidis,cfr_cluj,CFR Cluj,cfr_cluj.png,77,Panagiotis Tachtsidis,Defensive Midfield,"Feb 15, 1991 (33)",Greece,€550k,cfr_cluj_panagiotis_tachtsidis.png,4
cfr_cluj_alin_fica,cfr_cluj,CFR Cluj,cfr_cluj.png,82,Alin Fica,Central Midfield,"Jun 14, 2001 (23)",Romania,€750k,cfr_cluj_alin_fica.png,4
cfr_cluj_damjan_djokovic,cfr_cluj,CFR Cluj,cfr_cluj.png,88,Damjan Djokovic,Central Midfield,"Apr 18, 1990 (34)",Croatia,€225k,cfr_cluj_damjan_djokovic.png,4
cfr_cluj_meriton_korenica,cfr_cluj,CFR Cluj,cfr_cluj.png,17,Meriton Korenica,Left Winger,"Dec 15, 1996 (28)",Kosovo,€900k,cfr_cluj_meriton_korenica.png,4
cfr_cluj_mohammed_kamara,cfr_cluj,CFR Cluj,cfr_cluj.png,7,Mohammed Kamara,Left Winger,"Oct 31, 1997 (27)",Liberia,€600k,cfr_cluj_mohammed_kamara.png,3
cfr_cluj_adrian_paun,cfr_cluj,CFR Cluj,cfr_cluj.png,11,Adrian Paun,Left Winger,"Apr 1, 1995 (29)",Romania,€600k,cfr_cluj_adrian_paun.png,3
cfr_cluj_andres_sfait,cfr_cluj,CFR Cluj,cfr_cluj.png,97,Andres Sfait,Left Winger,"Dec 9, 2004 (20)",Romania,€450k,cfr_cluj_andres_sfait.png,2
cfr_cluj_stipe_juric,cfr_cluj,CFR Cluj,cfr_cluj.png,99,Stipe Juric,Left Winger,"Nov 19, 1998 (26)",Bosnia-Herzegovina,€450k,cfr_cluj_stipe_juric.png,2
cfr_cluj_beni_nkololo,cfr_cluj,CFR Cluj,cfr_cluj.png,96,Beni Nkololo,Right Winger,"Nov 6, 1996 (28)",France,€600k,cfr_cluj_beni_nkololo.png,3
cfr_cluj_ciprian_deac,cfr_cluj,CFR Cluj,cfr_cluj.png,10,Ciprian Deac,Right Winger,"Feb 16, 1986 (38)",Romania,€200k,cfr_cluj_ciprian_deac.png,5
cfr_cluj_louis_munteanu,cfr_cluj,CFR Cluj,cfr_cluj.png,9,Louis Munteanu,Centre-Forward,"Jun 16, 2002 (22)",Romania,€2.20m,cfr_cluj_louis_munteanu.png,5
cfr_cluj_virgiliu_postolachi,cfr_cluj,CFR Cluj,cfr_cluj.png,93,Virgiliu Postolachi,Centre-Forward,"Mar 17, 2000 (24)",Moldova,€600k,cfr_cluj_virgiliu_postolachi.png,4
cfr_cluj_luka_juricic,cfr_cluj,CFR Cluj,cfr_cluj.png,-,Luka Juricic,Centre-Forward,"Nov 25, 1996 (28)",Bosnia-Herzegovina,€300k,cfr_cluj_luka_juricic.png,2
fc_universitatea_cluj_edvinas_gertmonas,fc_universitatea_cluj,FC Universitatea Cluj,fc_universitatea_cluj.png,30,Edvinas Gertmonas,Goalkeeper,"Jun 1, 1996 (28)",Lithuania,€1.20m,fc_universitatea_cluj_edvinas_gertmonas.png,4
fc_universitatea_cluj_lucas_masoero,fc_universitatea_cluj,FC Universitatea Cluj,fc_universitatea_cluj.png,5,Lucas Masoero,Centre-Back,"Feb 1, 1995 (30)",Argentina,€1.30m,fc_universitatea_cluj_lucas_masoero.png,3
fc_universitatea_cluj_iulian_cristea,fc_universitatea_cluj,FC Universitatea Cluj,fc_universitatea_cluj.png,6,Iulian Cristea,Centre-Back,"Jul 17, 1994 (30)",Romania,€1.00m,fc_universitatea_cluj_iulian_cristea.png,4
fc_universitatea_cluj_jasper_van_der_werff,fc_universitatea_cluj,FC Universitatea Cluj,fc_universitatea_cluj.png,16,Jasper van der Werff,Centre-Back,"Dec 9, 1998 (26)",Switzerland,€750k,fc_universitatea_cluj_jasper_van_der_werff.png,3
fc_universitatea_cluj_bogdan_mitrea,fc_universitatea_cluj,FC Universitatea Cluj,fc_universitatea_cluj.png,3,Bogdan Mitrea,Centre-Back,"Sep 29, 1987 (37)",Romania,€200k,fc_universitatea_cluj_bogdan_mitrea.png,2
