Team,Number,Name,Position,Age,Nationality,Market Value
FC Dinamo 1948,17,Georgi Milanov,Central Midfield,"Feb 19, 1992 (32)",Bulgaria,€550k
FC Dinamo 1948,-,Casian Soare,Central Midfield,"Nov 24, 2006 (18)",Romania,€100k
FC Dinamo 1948,33,Patrick Olsen,Attacking Midfield,"Apr 23, 1994 (30)",Denmark,€700k
FC Dinamo 1948,7,Dennis Politic,Left Winger,"Mar 5, 2000 (24)",Romania,€1.20m
FC Dinamo 1948,21,Petru Neagu,Left Winger,"Aug 13, 1999 (25)",Moldova,€200k
FC Dinamo 1948,24,Adrian Caragea,Left Winger,"Sep 7, 2005 (19)",Romania,€150k
FC Dinamo 1948,19,Hakim Abdallah,Right Winger,"Jan 9, 1998 (27)",Madagascar,€700k
FC Dinamo 1948,20,Antonio Bordusanu,Right Winger,"Aug 10, 2004 (20)",Romania,€300k
FC Dinamo 1948,9,Astrit Selmani,Centre-Forward,"May 13, 1997 (27)",Kosovo,€1.20m
FC Dinamo 1948,99,Alexandru Pop,Centre-Forward,"Feb 1, 2000 (24)",Romania,€1.20m
FC Dinamo 1948,30,Raul Rotund,Centre-Forward,"Nov 17, 2005 (19)",Romania,€100k
FCV Farul Constanta,1,Alexandru Buzbuchi,Goalkeeper,"Oct 31, 1993 (31)",Romania,€700k
FCV Farul Constanta,68,Razvan Ducan,Goalkeeper,"Feb 9, 2001 (23)",Romania,€200k
FCV Farul Constanta,4,Gustavo Marins,Centre-Back,"Feb 11, 2002 (22)",Brazil,€650k
FCV Farul Constanta,44,Mihai Balasa,Centre-Back,"Jan 14, 1995 (30)",Romania,€500k
FCV Farul Constanta,5,Bogdan Tiru,Centre-Back,"Mar 15, 1994 (30)",Romania,€200k
FCV Farul Constanta,15,Gabriel Danuleasa,Centre-Back,"May 8, 2003 (21)",Romania,€200k
FCV Farul Constanta,16,Gabriel Buta,Centre-Back,"Jan 29, 2002 (22)",Romania,€100k
FCV Farul Constanta,17,Ionut Larie,Centre-Back,"Jan 16, 1987 (38)",Romania,€100k
FCV Farul Constanta,-,Horia Marin,Centre-Back,"Jan 16, 2004 (21)",Romania,€25k
FCV Farul Constanta,11,Cristian Ganea,Left-Back,"May 24, 1992 (32)",Romania,€400k
FCV Farul Constanta,-,Reginaldo,Left-Back,"Aug 17, 2001 (23)",Brazil,-
