PlayerID,Scor,Liga
fc_buzau_dragan_lovric,3,superliga
fc_buzau_mike_cestor,3,superliga
fc_buzau_bradley_de_nooijer,2,superliga
fc_buzau_denis_dumitrascu,2,superliga
fc_buzau_robert_salceanu,2,superliga
fc_buzau_alessandro_ciranni,2,superliga
fc_buzau_sergiu_pirvulescu,2,superliga
fc_buzau_diego_ferraresso,2,superliga
fc_buzau_dragos_albu,2,superliga
fc_buzau_james_lea_siliki,1,superliga
fc_buzau_david_tavares,2,superliga
fc_buzau_luca_mihai,3,superliga
fc_buzau_vito,2,superliga
fc_buzau_nicusor_brincoveanu,1,superliga
fc_buzau_cristian_benavente,1,superliga
fc_buzau_constantin_budescu,4,superliga
fc_buzau_cristian_dumitru,2,superliga
fc_buzau_alexandru_isfan,3,superliga
fc_buzau_ricardo_matos,3,superliga
fc_buzau_kevin_brobbey,1,superliga
uta_arad_andrei_gorcea,2,superliga
uta_arad_dejan_iliev,2,superliga
uta_arad_patric_toderean,1,superliga
uta_arad_lucas_rosu,1,superliga
uta_arad_ibrahima_conte,2,superliga
uta_arad_florent_poulolo,2,superliga
uta_arad_khadim_rassoul,1,superliga
uta_arad_alexandru_benga,3,superliga
uta_arad_razvan_trif,2,superliga
uta_arad_damien_dussaut,3,superliga
uta_arad_ravy_tsouka,2,superliga
uta_arad_cristian_mihai,2,superliga
uta_arad_denis_hrezdac,2,superliga
uta_arad_joao_pedro,3,superliga
uta_arad_cornel_rapa,3,superliga
uta_arad_benjamin_van_durmen,2,superliga
uta_arad_paul-jose_mpoku,1,superliga
uta_arad_marinos_tzionis,1,superliga
uta_arad_valentin_costache,3,superliga
uta_arad_eric_omondi,1,superliga
uta_arad_lamine_ghezali,2,superliga
uta_arad_marian_danciu,1,superliga
uta_arad_nsungusi_effiong,2,superliga
uta_arad_shayon_harrison,2,superliga
uta_arad_daniel_zsori,1,superliga
afc_unirea_04_slobozia_denis_rusu,2,superliga
afc_unirea_04_slobozia_filip_blazek,2,superliga
afc_unirea_04_slobozia_ariel_lopez,2,superliga
afc_unirea_04_slobozia_dmytro_pospelov,2,superliga
afc_unirea_04_slobozia_daniel_serbanica,1,superliga
afc_unirea_04_slobozia_laurentiu_vlasceanu,1,superliga
afc_unirea_04_slobozia_constantin_toma,2,superliga
afc_unirea_04_slobozia_paolo_medina,3,superliga
afc_unirea_04_slobozia_andrei_dorobantu,2,superliga
afc_unirea_04_slobozia_ovidiu_perianu,3,superliga
afc_unirea_04_slobozia_rassambek_akhmatov,2,superliga
afc_unirea_04_slobozia_stefan_pacionel,2,superliga
afc_unirea_04_slobozia_adnan_aganovic,3,superliga
afc_unirea_04_slobozia_christ_afalna,4,superliga
afc_unirea_04_slobozia_florin_purece,2,superliga
afc_unirea_04_slobozia_petru_neagu,1,superliga
afc_unirea_04_slobozia_marius_lupu,3,superliga
afc_unirea_04_slobozia_cristian_barbut,2,superliga
afc_unirea_04_slobozia_bachana_arabuli,2,superliga
afc_unirea_04_slobozia_jakub_vojtus,1,superliga
